year,state,candidate,party,candidatevotes
2012,Wyoming,Blank Vote,,1367
2012,Wyoming,Over Vote,,273
2016,Alabama,"Trump, Donald J.",republican,1318255
2016,Alabama,"Clinton, Hillary",democrat,729547
2016,Alabama,"Johnson, Gary",libertarian,44467
2016,Alabama,,,21712
2016,Alabama,"Stein, Jill",green,9391
2016,Alaska,"Trump, Donald J.",republican,163387
2016,Alaska,"Clinton, Hillary",democrat,116454
2016,Alaska,"Johnson, Gary",libertarian,18725
2016,Alaska,,,9201
2016,Alaska,"Stein, Jill",green,5735
2016,Alaska,"Castle, Darrell L.",constitution party,3866
2016,Alaska,"De La Fuente, Roque """"Rocky""""",no party affiliation,1240
2016,Arizona,"Trump, Donald J.",republican,1252401
2016,Arizona,"Clinton, Hillary",democrat,1161167
2016,Arizona,"Johnson, Gary",libertarian,106327
2016,Arizona,"Stein, Jill",green,34345
2016,Arizona,,independent,17473
2016,Arizona,"Castle, Darrell L.",constitution party,1058
2016,Arizona,,no party affiliation,311
2016,Arizona,,democrat,42
2016,Arizona,"De La Fuente, Roque """"Rocky""""",american delta party,29
2016,Arizona,"Tittle, Sheila """"Samm""""",we the people,12
2016,Arkansas,"Trump, Donald J.",republican,684872
2016,Arkansas,"Clinton, Hillary",democrat,380494
2016,Arkansas,"Johnson, Gary",libertarian,29829
2016,Arkansas,"McMullin, Evan",better for america,13255
2016,Arkansas,"Stein, Jill",green,9473
2016,Arkansas,"Hedges, Jim",prohibition,4709
2016,Arkansas,"Castle, Darrell L.",constitution party,4613
2016,Arkansas,"Kahn, Lynn S.",independent,3390
2016,California,"Clinton, Hillary",democrat,8753788
2016,California,"Trump, Donald J.",republican,4483810
2016,California,"Johnson, Gary",libertarian,478500
2016,California,"Stein, Jill",green,278657
2016,California,,,120739
2016,California,"La Riva, Gloria Estella",peace & freedom,66101
2016,Colorado,"Clinton, Hillary",democrat,1338870
2016,Colorado,"Trump, Donald J.",republican,1202484
2016,Colorado,"Johnson, Gary",libertarian,144121
2016,Colorado,"Stein, Jill",green,38437
2016,Colorado,Scattering,unaffiliated,31485
2016,Colorado,"Castle, Darrell L.",american constitution party,11699
2016,Colorado,"Keniston, Chris",veterans party of america,5028
2016,Colorado,"De La Fuente, Roque """"Rocky""""",american delta party,1255
2016,Colorado,"Kopitke, Kyle Kenley",independent american,1096
2016,Colorado,"Maldonado, Joseph Allen",independent people of colorado,872
2016,Colorado,"Maturen, Michael A.",american solidarity party,862
2016,Colorado,"Silva, Rod",nutrition party,751
2016,Colorado,"Hoefling, Tom",america's party,710
2016,Colorado,"La Riva, Gloria Estella",socialism and liberation party,531
2016,Colorado,"Kennedy, Alyson",socialist workers,452
2016,Colorado,"Kotlikoff, Laurence",kotlikoff for president,392
2016,Colorado,"Lyttle, Bradford",nonviolent resistance/pacifist,382
2016,Colorado,"Atwood, Frank",approval voting party,337
2016,Colorado,"Emidio """"Mimi"""", Soltysik",socialist party usa,271
2016,Colorado,"Hedges, James",prohibition,185
2016,Connecticut,"Clinton, Hillary",democrat,897572
2016,Connecticut,"Trump, Donald J.",republican,673215
2016,Connecticut,"Johnson, Gary",libertarian,48676
2016,Connecticut,"Stein, Jill",green,22841
2016,Connecticut,,,2616
2016,Delaware,"Clinton, Hillary",democrat,235603
2016,Delaware,"Trump, Donald J.",republican,185127
2016,Delaware,"Johnson, Gary",libertarian,14757
2016,Delaware,"Stein, Jill",green,6103
2016,District of Columbia,"Clinton, Hillary",democrat,282830
2016,District of Columbia,"Trump, Donald J.",republican,12723
2016,District of Columbia,,,6551
2016,District of Columbia,"Johnson, Gary",libertarian,4906
2016,District of Columbia,"Stein, Jill",green,4258
2016,District of Columbia,Blank Vote,,1064
2016,District of Columbia,Over Vote,,243
2016,Florida,"Trump, Donald J.",republican,4617886
2016,Florida,"Clinton, Hillary",democrat,4504975
2016,Florida,"Johnson, Gary",libertarian,207043
2016,Florida,"Stein, Jill",green,64399
2016,Florida,"Castle, Darrell L.",constitution party,16475
2016,Florida,"De La Fuente, Roque """"Rocky""""",reform party,9108
2016,Florida,,,153
2016,Georgia,"Trump, Donald J.",republican,2089104
2016,Georgia,"Clinton, Hillary",democrat,1877963
2016,Georgia,"Johnson, Gary",libertarian,125306
2016,Georgia,,,22359
2016,Hawaii,"Clinton, Hillary",democrat,266891
2016,Hawaii,"Trump, Donald J.",republican,128847
2016,Hawaii,"Johnson, Gary",libertarian,15954
2016,Hawaii,"Stein, Jill",green,12737
2016,Hawaii,Blank Vote,,8289
2016,Hawaii,"Castle, Darrell L.",constitution party,4508
2016,Hawaii,Over Vote,,438
2016,Idaho,"Trump, Donald J.",republican,409055
2016,Idaho,"Clinton, Hillary",democrat,189765
2016,Idaho,"McMullin, Evan",independent,60748
2016,Idaho,"Johnson, Gary",libertarian,28331
2016,Idaho,"Castle, Darrell L.",constitution party,2356
2016,Illinois,"Clinton, Hillary",democrat,3090729
2016,Illinois,"Trump, Donald J.",republican,2146015
2016,Illinois,"Johnson, Gary",libertarian,209596
2016,Illinois,"Stein, Jill",green,76802
2016,Illinois,,,13282
2016,Indiana,"Trump, Donald J.",republican,1557286
2016,Indiana,"Clinton, Hillary",democrat,1033126
2016,Indiana,"Johnson, Gary",libertarian,133993
2016,Indiana,,green,7841
2016,Indiana,"Castle, Darrell L.",constitution party,1937
2016,Indiana,,independent,718
2016,Indiana,"Emidio """"Mimi"""", Soltysik",socialist party usa,57
2016,Iowa,"Trump, Donald J.",republican,800983
2016,Iowa,"Clinton, Hillary",democrat,653669
2016,Iowa,"Johnson, Gary",libertarian,59186
2016,Iowa,,,17746
2016,Iowa,"McMullin, Evan",nominated by petition,12366
2016,Iowa,"Stein, Jill",green,11479
2016,Iowa,"Castle, Darrell L.",constitution party,5335
2016,Iowa,"Kahn, Lynn S.",new independent party iowa,2247
2016,Iowa,"Vacek, Dan",legal marijuana now,2246
2016,Iowa,"La Riva, Gloria Estella",socialism and liberation party,323
2016,Kansas,"Trump, Donald J.",republican,671018
2016,Kansas,"Clinton, Hillary",democrat,427005
2016,Kansas,"Johnson, Gary",libertarian,55406
2016,Kansas,"Stein, Jill",independent,23506
2016,Kansas,,,7467
2016,Kentucky,"Trump, Donald J.",republican,1202971
2016,Kentucky,"Clinton, Hillary",democrat,628854
2016,Kentucky,"Johnson, Gary",libertarian,53752
2016,Kentucky,"McMullin, Evan",independent,22780
2016,Kentucky,"Stein, Jill",green,13913
2016,Kentucky,"De La Fuente, Roque """"Rocky""""",american delta party,1128
2016,Kentucky,,,751
2016,Louisiana,"Trump, Donald J.",republican,1178638
2016,Louisiana,"Clinton, Hillary",democrat,780154
2016,Louisiana,"Johnson, Gary",libertarian,37978
2016,Louisiana,Other,,18231
2016,Louisiana,"Stein, Jill",green,14031
2016,Maine,"Clinton, Hillary",democrat,357735
2016,Maine,"Trump, Donald J.",republican,335593
2016,Maine,"Johnson, Gary",libertarian,38105
2016,Maine,Blank Vote,,23965
2016,Maine,"Stein, Jill",green,14251
2016,Maine,,unenrolled,2243
2016,Maryland,"Clinton, Hillary",democrat,1677928
2016,Maryland,"Trump, Donald J.",republican,943169
2016,Maryland,"Johnson, Gary",libertarian,79605
2016,Maryland,"Stein, Jill",green,35945
2016,Maryland,,,33263
2016,Maryland,Other,,10921
2016,Maryland,,no party affiliation,278
2016,Maryland,"Trump, Donald J.",republican,259
2016,Maryland,"Clinton, Hillary",democrat,78
2016,Massachusetts,"Clinton, Hillary",democrat,1995196
2016,Massachusetts,"Trump, Donald J.",republican,1090893
2016,Massachusetts,"Johnson, Gary",libertarian,138018
2016,Massachusetts,Blank Vote,,53775
2016,Massachusetts,Other,,50488
2016,Massachusetts,"Stein, Jill",green,47661
2016,Massachusetts,,,2790
2016,Michigan,"Trump, Donald J.",republican,2279543
2016,Michigan,"Clinton, Hillary",democrat,2268839
2016,Michigan,"Johnson, Gary",libertarian,172136
2016,Michigan,"Stein, Jill",green,51463
2016,Michigan,"Castle, Darrell L.",u.s. taxpayers party,16139
2016,Michigan,,,8955
2016,Michigan,"Emidio """"Mimi"""", Soltysik",natural law,2209
2016,Minnesota,"Clinton, Hillary",democrat,1367705
2016,Minnesota,"Trump, Donald J.",republican,1322949
2016,Minnesota,"Johnson, Gary",libertarian,112972
2016,Minnesota,"McMullin, Evan",independence,53075
2016,Minnesota,"Stein, Jill",green,36986
2016,Minnesota,,,27247
2016,Minnesota,"Vacek, Dan",legal marijuana now,11291
2016,Minnesota,"Castle, Darrell L.",constitution party,9456
2016,Minnesota,"Kennedy, Alyson",socialist workers,1671
2016,Minnesota,"De La Fuente, Roque """"Rocky""""",american delta party,1430
2016,Mississippi,"Trump, Donald J.",republican,700714
2016,Mississippi,"Clinton, Hillary",democrat,485131
2016,Mississippi,"Johnson, Gary",libertarian,14435
2016,Mississippi,"Castle, Darrell L.",constitution party,3987
2016,Mississippi,"Stein, Jill",green,3731
2016,Mississippi,"Hedges, James",prohibition,715
2016,Mississippi,"De La Fuente, Roque """"Rocky""""",american delta party,644
2016,Missouri,"Trump, Donald J.",republican,1594511
2016,Missouri,"Clinton, Hillary",democrat,1071068
2016,Missouri,"Johnson, Gary",libertarian,97359
2016,Missouri,"Stein, Jill",green,25419
2016,Missouri,"Castle, Darrell L.",constitution party,13092
2016,Missouri,,,7156
2016,Montana,"Trump, Donald J.",republican,279240
2016,Montana,"Clinton, Hillary",democrat,177709
2016,Montana,"Johnson, Gary",libertarian,28037
2016,Montana,"Stein, Jill",green,7970
2016,Montana,"De La Fuente, Roque """"Rocky""""",american delta party,1570
2016,Nebraska,"Trump, Donald J.",republican,495961
2016,Nebraska,"Clinton, Hillary",democrat,284494
2016,Nebraska,"Johnson, Gary",libertarian,38946
2016,Nebraska,,,16051
2016,Nebraska,"Stein, Jill",nominated by petition,8775
2016,Nevada,"Clinton, Hillary",democrat,539260
2016,Nevada,"Trump, Donald J.",republican,512058
2016,Nevada,"Johnson, Gary",libertarian,37384
2016,Nevada,None Of The Above,,28863
2016,Nevada,"Kopitke, Kyle Kenley",independent american,5268
2016,Nevada,"De La Fuente, Roque """"Rocky""""",no party affiliation,2552
2016,New Hampshire,"Clinton, Hillary",democrat,348526
2016,New Hampshire,"Trump, Donald J.",republican,345790
2016,New Hampshire,"Johnson, Gary",libertarian,30777
2016,New Hampshire,,,9618
2016,New Hampshire,"Stein, Jill",green,6496
2016,New Hampshire,Scattering,,2411
2016,New Hampshire,"De La Fuente, Roque """"Rocky""""",american delta party,678
2016,New Jersey,"Clinton, Hillary",democrat,2148278
2016,New Jersey,"Trump, Donald J.",republican,1601933
2016,New Jersey,"Johnson, Gary",libertarian,72477
2016,New Jersey,"Stein, Jill",green,37772
2016,New Jersey,"Castle, Darrell L.",constitution party,6161
2016,New Jersey,"Kennedy, Alyson",socialist workers,2156
2016,New Jersey,"De La Fuente, Roque """"Rocky""""",american delta party,1838
2016,New Jersey,"Moorehead, Monica",workers world party,1749
2016,New Jersey,"La Riva, Gloria Estella",socialism and liberation party,1682
2016,New Mexico,"Clinton, Hillary",democrat,385234
2016,New Mexico,"Trump, Donald J.",republican,319667
2016,New Mexico,"Johnson, Gary",libertarian,74541
2016,New Mexico,"Stein, Jill",green,9879
2016,New Mexico,"McMullin, Evan",better for america,5825
2016,New Mexico,"Castle, Darrell L.",constitution party,1514
2016,New Mexico,"La Riva, Gloria Estella",socialism and liberation party,1184
2016,New Mexico,"De La Fuente, Roque """"Rocky""""",american delta party,475
2016,New York,"Clinton, Hillary",democrat,4379789
2016,New York,"Trump, Donald J.",republican,2527142
2016,New York,"Trump, Donald J.",conservative,292392
2016,New York,"Clinton, Hillary",working families,140041
2016,New York,"Johnson, Gary",independence,119156
2016,New York,"Stein, Jill",green,107934
2016,New York,Blank Vote,,77179
2016,New York,"Johnson, Gary",libertarian,57442
2016,New York,Scattering,,48447
2016,New York,"Clinton, Hillary",women's equality,36294
2016,New York,,,12816
2016,New York,Void Vote,,3452
2016,North Carolina,"Trump, Donald J.",republican,2362631
2016,North Carolina,"Clinton, Hillary",democrat,2189316
2016,North Carolina,"Johnson, Gary",libertarian,130126
2016,North Carolina,Scattering,,47386
2016,North Carolina,,,12105
2016,North Dakota,"Trump, Donald J.",republican,216794
2016,North Dakota,"Clinton, Hillary",democrat,93758
2016,North Dakota,"Johnson, Gary",libertarian,21434
2016,North Dakota,,,6397
2016,North Dakota,"Stein, Jill",green,3780
2016,North Dakota,"Castle, Darrell L.",constitution party,1833
2016,North Dakota,"De La Fuente, Roque """"Rocky""""",american delta party,364
2016,Ohio,"Trump, Donald J.",republican,2841005
2016,Ohio,"Clinton, Hillary",democrat,2394164
2016,Ohio,,no party affiliation,198733
2016,Ohio,"Stein, Jill",green,46271
2016,Ohio,,,16314
2016,Oklahoma,"Trump, Donald J.",republican,949136
2016,Oklahoma,"Clinton, Hillary",democrat,420375
2016,Oklahoma,"Johnson, Gary",libertarian,83481
2016,Oregon,"Clinton, Hillary",democrat,1002106
2016,Oregon,"Trump, Donald J.",republican,782403
2016,Oregon,"Johnson, Gary",libertarian,94231
2016,Oregon,Other,,72594
2016,Oregon,"Stein, Jill",green,50002
2016,Pennsylvania,"Trump, Donald J.",republican,2970733
2016,Pennsylvania,"Clinton, Hillary",democrat,2926441
2016,Pennsylvania,"Johnson, Gary",libertarian,146715
2016,Pennsylvania,"Stein, Jill",green,49941
2016,Pennsylvania,"Castle, Darrell L.",constitution party,21572
2016,Rhode Island,"Clinton, Hillary",democrat,252525
2016,Rhode Island,"Trump, Donald J.",republican,180543
2016,Rhode Island,"Johnson, Gary",libertarian,14746
2016,Rhode Island,,,9439
2016,Rhode Island,"Stein, Jill",green,6220
2016,Rhode Island,"De La Fuente, Roque """"Rocky""""",american delta party,671
2016,South Carolina,"Trump, Donald J.",republican,1155389
2016,South Carolina,"Clinton, Hillary",democrat,855373
2016,South Carolina,"Johnson, Gary",libertarian,49204
2016,South Carolina,"McMullin, Evan",independence,21016
2016,South Carolina,"Stein, Jill",green,13034
2016,South Carolina,"Castle, Darrell L.",constitution party,5765
2016,South Carolina,"Skewes, Peter",american,3246
2016,South Dakota,"Trump, Donald J.",republican,227721
2016,South Dakota,"Clinton, Hillary",democrat,117458
2016,South Dakota,"Johnson, Gary",libertarian,20850
2016,South Dakota,"Castle, Darrell L.",constitution party,4064
2016,Tennessee,"Trump, Donald J.",republican,1522925
2016,Tennessee,"Clinton, Hillary",democrat,870695
2016,Tennessee,,independent,100618
2016,Tennessee,,,13789
2016,Texas,"Trump, Donald J.",republican,4685047
2016,Texas,"Clinton, Hillary",democrat,3877868
2016,Texas,"Johnson, Gary",libertarian,283492
2016,Texas,"Stein, Jill",green,71558
2016,Texas,,,51261
2016,Utah,"Trump, Donald J.",republican,515211
2016,Utah,"Clinton, Hillary",democrat,310674
2016,Utah,"McMullin, Evan",no party affiliation,255060
2016,Utah,"Johnson, Gary",libertarian,39608
2016,Utah,"Castle, Darrell L.",constitution party,8032
2016,Utah,"Kopitke, Kyle Kenley",independent american,2732
2016,Vermont,"Clinton, Hillary",democrat,178573
2016,Vermont,"Trump, Donald J.",republican,95369
2016,Vermont,,,22899
2016,Vermont,"Johnson, Gary",libertarian,10078
2016,Vermont,"Stein, Jill",green,6758
2016,Vermont,Blank Vote,,4574
2016,Vermont,"De La Fuente, Roque """"Rocky""""",independent,1063
2016,Vermont,Void Vote,,826
2016,Vermont,"La Riva, Gloria Estella",liberty union party,327
2016,Virginia,"Clinton, Hillary",democrat,1981473
2016,Virginia,"Trump, Donald J.",republican,1769443
2016,Virginia,"Johnson, Gary",libertarian,118274
2016,Virginia,"McMullin, Evan",independent,54054
2016,Virginia,,,31870
2016,Virginia,"Stein, Jill",green,27638
2016,Washington,"Clinton, Hillary",democrat,1742718
2016,Washington,"Trump, Donald J.",republican,1221747
2016,Washington,"Johnson, Gary",libertarian,160879
2016,Washington,,,107805
2016,Washington,"Stein, Jill",green,58417
2016,Washington,"Castle, Darrell L.",constitution party,17623
2016,Washington,"Kennedy, Alyson",socialist workers,4307
2016,Washington,"La Riva, Gloria Estella",socialism and liberation party,3523
2016,West Virginia,"Trump, Donald J.",republican,489371
2016,West Virginia,"Clinton, Hillary",democrat,188794
2016,West Virginia,"Johnson, Gary",libertarian,23004
2016,West Virginia,"Stein, Jill",green,8075
2016,West Virginia,"Castle, Darrell L.",constitution party,3807
2016,Wisconsin,"Trump, Donald J.",republican,1405284
2016,Wisconsin,"Clinton, Hillary",democrat,1382536
2016,Wisconsin,"Johnson, Gary",libertarian,106674
2016,Wisconsin,"Stein, Jill",green,31072
2016,Wisconsin,Scattering,,22764
2016,Wisconsin,,,12386
2016,Wisconsin,"Castle, Darrell L.",constitution party,12162
2016,Wisconsin,"Moorehead, Monica",workers world party,1770
2016,Wisconsin,"De La Fuente, Roque """"Rocky""""",american delta party,1502
2016,Wyoming,"Trump, Donald J.",republican,174419
2016,Wyoming,"Clinton, Hillary",democrat,55973
2016,Wyoming,"Johnson, Gary",libertarian,13287
2016,Wyoming,,,6904
2016,Wyoming,,independent,3224
2016,Wyoming,Blank Vote,,2661
2016,Wyoming,"Castle, Darrell L.",constitution party,2042
2016,Wyoming,Over Vote,,278
